"00-The Fool"	"該卡是關於金錢和金融的積極指標。期望股價和共同基金的上漲帶來不錯的收益。"
"01-The Magician"	"您的工作有改進的機會，但您需要邁出第一步才能獲得它們。在求職面試中會給予您最佳的肯定，如果您對目前的工作不滿意，可以找一些新的職位。通過最好的行動，您將獲得財務上的收穫。"
"02-The High Priestess"	"令人驚喜的是，您在工作領域有可能加薪或晉升。如果您正在尋找其他工作的機會，請留意新的方向，並努力尋找新的方法來減輕您的生活壓力。而且，如果有很多關於您的八卦，只要忽略一切，繼續您的工作。"
"03-The Empress"	"建議您投資任何您認為合適的東西，因為它會帶來經濟利益，讓您舒適地生活。在商業中，預測將有豐富的時間，達到目標並按時完成項目。"
"04-The Emperor"	"您有一個理性的心態，商業化的，採取有計劃和務實的方法，專注於您擁有的東西，並最終找到您的職業利基點，您的技能將得到充分的欣賞。通過保持積極的態度，您最終能夠在經濟上增長。"
"05-The Hierophant"	"該卡建議您了解從銀行家或其他有經驗的人處理資金的方式，然後進行穩定的投資。它還強調保持在您的預算範圍內，以便沒有緊張的生活。"
"06-The Lovers"	"夥伴關係將是互惠互利的，尋求金融機會也會帶來好運。但是，您需要把持您的行為，以免過度放縱分散注意力。"
"07-The Chariot"	"由於財務狀況良好，您可能會花錢購買與運輸相關的東西。但是，您也需要省錢。努力首先償還債務，保持紀律，以享受財務穩定。"
"08-Strength"	"您必須安撫自己，而不是懷疑自己的能力。繼續前進，發揮潛力，實現目標。如果您正在尋找夢想的求職面試或工作中的晉升，那麼證明自己是值得的。遏制超支的傾向。確保您將資金投入到正確的計劃中，以便在未來獲得更大的利潤。"
"09-The Hermit"	"儘管資金不是隱士的最高優先，但您仍需要限制您的金融交易和股票投資。如果您經營企業，請專注於建立您的品牌，而不是在不必要的服務上浪費資源。"
"10-The Wheel of Fortune"	"如果您經歷了一個艱難的階段，您的財務狀況可能會好轉。保持您的支出控制，並嘗試增加您的財富。"
"11-The Justice"	"這段時間有利於揮霍昂貴的商品，因為您的口袋裡有足夠的錢。如果您在向某人收取賠償或付款方面遇到延誤，塔羅牌會給您帶來好消息。"
